Year,Number of Paintings
1934-01-01,7
1941,4
1933,4
1935,3
1926,3
1927,3
1932-01,3
1929,2
1934-08-03,2
1928,2
1931,2
1935-11-14,2
1916-05-24,1
1928-06,1
1938,1
1946,1
1937,1
1942,1
1937-06-21,1
1936,1
1941-01,1
1935-11-29,1
1934-08-21,1
1921,1
1915-10-16,1
1932,1
1930-09,1
1932-05-29,1
1943,1
1941-07-05,1
1947-02,1
1932-02-14,1
1940,1
1916-03-30,1
1934-12-01,1
1927-04-11,1
1924-08,1
1923,1
1939,1
